FIPS,State,County,Rating Area
1001,AL,Autauga,Rating Area 11
1003,AL,Baldwin,Rating Area 13
1005,AL,Barbour,Rating Area 13
1007,AL,Bibb,Rating Area 3
1009,AL,Blount,Rating Area 3
1011,AL,Bullock,Rating Area 13
1013,AL,Butler,Rating Area 13
1015,AL,Calhoun,Rating Area 1
1017,AL,Chambers,Rating Area 13
1019,AL,Cherokee,Rating Area 13
1021,AL,Chilton,Rating Area 3
1023,AL,Choctaw,Rating Area 13
1025,AL,Clarke,Rating Area 13
1027,AL,Clay,Rating Area 13
1029,AL,Cleburne,Rating Area 13
1031,AL,Coffee,Rating Area 13
1033,AL,Colbert,Rating Area 7
1035,AL,Conecuh,Rating Area 13
1037,AL,Coosa,Rating Area 13
1039,AL,Covington,Rating Area 13
1041,AL,Crenshaw,Rating Area 13
1043,AL,Cullman,Rating Area 13
1045,AL,Dale,Rating Area 13
1047,AL,Dallas,Rating Area 13
1049,AL,DeKalb,Rating Area 13
1051,AL,Elmore,Rating Area 11
1053,AL,Escambia,Rating Area 13
1055,AL,Etowah,Rating Area 8
1057,AL,Fayette,Rating Area 13
1059,AL,Franklin,Rating Area 13
1061,AL,Geneva,Rating Area 6
1063,AL,Greene,Rating Area 12
1065,AL,Hale,Rating Area 12
1067,AL,Henry,Rating Area 6
1069,AL,Houston,Rating Area 6
1071,AL,Jackson,Rating Area 13
1073,AL,Jefferson,Rating Area 3
1075,AL,Lamar,Rating Area 13
1077,AL,Lauderdale,Rating Area 7
1079,AL,Lawrence,Rating Area 5
1081,AL,Lee,Rating Area 2
1083,AL,Limestone,Rating Area 9
1085,AL,Lowndes,Rating Area 11
1087,AL,Macon,Rating Area 13
1089,AL,Madison,Rating Area 9
1091,AL,Marengo,Rating Area 13
1093,AL,Marion,Rating Area 13
1095,AL,Marshall,Rating Area 13
1097,AL,Mobile,Rating Area 10
1099,AL,Monroe,Rating Area 13
1101,AL,Montgomery,Rating Area 11
1103,AL,Morgan,Rating Area 5
1105,AL,Perry,Rating Area 13
1107,AL,Pickens,Rating Area 13
1109,AL,Pike,Rating Area 13
1111,AL,Randolph,Rating Area 13
1113,AL,Russell,Rating Area 4
1115,AL,St. Clair,Rating Area 3
1117,AL,Shelby,Rating Area 3
1119,AL,Sumter,Rating Area 13
1121,AL,Talladega,Rating Area 13
1123,AL,Tallapoosa,Rating Area 13
1125,AL,Tuscaloosa,Rating Area 12
1127,AL,Walker,Rating Area 3
1129,AL,Washington,Rating Area 13
1131,AL,Wilcox,Rating Area 13
